"k_til/k_sand","Q_total","Q_vw","Q_til","dilution ratio"
0.0161587,0.039414,0.00945058,0.0299667,0.31537
0.0168191,0.0401716,0.00944952,0.030725,0.307551
0.0175064,0.0409359,0.00944845,0.0314905,0.300041
0.0182217,0.0417061,0.0094474,0.0322624,0.29283
0.0189664,0.0424826,0.00944635,0.0330403,0.285904
0.0197414,0.0432646,0.00944531,0.0338234,0.279253
0.0205481,0.0440511,0.00944428,0.0346113,0.272867
0.0213878,0.0448416,0.00944326,0.0354032,0.266735
0.0222618,0.0456363,0.00944226,0.0361986,0.260846
0.0231715,0.0464329,0.00944127,0.0369968,0.255191
0.0241184,0.0472324,0.0094403,0.0377972,0.249762
0.025104,0.048033,0.00943935,0.038599,0.244549
0.0261298,0.0488348,0.00943842,0.0394016,0.239544
0.0271976,0.0496371,0.00943751,0.0402043,0.234739
0.028309,0.050439,0.00943663,0.0410064,0.230126
0.0294659,0.0512396,0.00943577,0.0418071,0.225697
0.03067,0.0520372,0.00943494,0.0426059,0.221447
0.0319233,0.0528349,0.00943413,0.0434019,0.217367
0.0332278,0.0536258,0.00943336,0.0441948,0.21345
0.0345856,0.0544128,0.00943262,0.0449835,0.209691
0.0359989,0.0551983,0.00943191,0.0457676,0.206083
0.03747,0.0559748,0.00943124,0.0465463,0.202621
0.0390012,0.0567477,0.0094306,0.0473191,0.199298
0.0405949,0.0575137,0.00943,0.0480853,0.19611
0.0422538,0.0582746,0.00942944,0.0488444,0.19305
0.0439805,0.0590252,0.00942892,0.0495959,0.190115
0.0457777,0.0597657,0.00942844,0.0503391,0.187298
0.0476484,0.0605019,0.009428,0.0510735,0.184597
0.0495955,0.061225,0.0094276,0.0517988,0.182004
0.0516222,0.0619417,0.00942724,0.0525144,0.179517
0.0537317,0.0626473,0.00942693,0.05322,0.177131
0.0559274,0.0633423,0.00942666,0.0539147,0.174844
0.0582128,0.0640258,0.00942643,0.054599,0.172649
0.0605917,0.0646993,0.00942625,0.0552718,0.170543
0.0630677,0.0653606,0.00942611,0.0559334,0.168524
0.0656449,0.0660107,0.00942601,0.056583,0.166587
0.0683274,0.0666483,0.00942595,0.0572208,0.16473
0.0711196,0.0672748,0.00942594,0.0578463,0.162948
0.0740258,0.0678876,0.00942596,0.0584595,0.161239
0.0770509,0.068489,0.00942603,0.0590602,0.1596
0.0801995,0.0690772,0.00942614,0.0596485,0.158028
0.0834768,0.0696535,0.00942629,0.0602241,0.15652
0.086888,0.0702173,0.00942647,0.060787,0.155074
0.0904386,0.0707689,0.00942669,0.0613373,0.153686
0.0941343,0.0713075,0.00942695,0.0618751,0.152355
0.0979811,0.0718342,0.00942724,0.0624002,0.151077
0.101985,0.0723466,0.00942758,0.0629129,0.149851
0.106153,0.0728473,0.00942793,0.0634135,0.148674
0.11049,0.0733351,0.00942831,0.0639016,0.147544
0.115005,0.0738106,0.00942874,0.0643778,0.146459
0.119705,0.0742755,0.00942918,0.0648423,0.145417
0.124597,0.0747278,0.00942965,0.0652952,0.144416
0.129688,0.0751685,0.00943014,0.0657367,0.143453
0.134988,0.0755994,0.00943066,0.0661672,0.142528
0.140504,0.0760185,0.0094312,0.0665869,0.141637
0.146246,0.0764286,0.00943176,0.0669961,0.140781
0.152222,0.0768273,0.00943233,0.0673951,0.139956
0.158442,0.0772163,0.00943291,0.0677843,0.139161
0.164917,0.0775969,0.00943352,0.0681638,0.138395
0.171656,0.0779674,0.00943414,0.0685343,0.137656
0.178671,0.0783291,0.00943474,0.0688959,0.136942
0.185972,0.0786836,0.00943539,0.0692491,0.136253
0.193572,0.0790292,0.00943603,0.0695943,0.135586
0.201482,0.0793673,0.00943669,0.0699318,0.134941
0.209715,0.079699,0.00943734,0.0702621,0.134316
0.218285,0.0800232,0.00943797,0.0705855,0.13371
0.227205,0.0803408,0.00943865,0.0709023,0.133122
0.23649,0.0806528,0.00943931,0.0712135,0.132549
0.246154,0.0809581,0.00943998,0.0715184,0.131994
0.256213,0.0812582,0.00944063,0.0718184,0.131451
0.266683,0.0815547,0.00944127,0.0721143,0.130921
0.27758,0.0818468,0.00944192,0.0724057,0.130403
0.288923,0.0821357,0.00944255,0.0726938,0.129895
0.30073,0.08242,0.00944317,0.0729789,0.129396
0.313019,0.0827039,0.0094438,0.0732607,0.128907
0.325811,0.0829839,0.00944441,0.0735401,0.128425
0.339125,0.0832626,0.00944502,0.0738179,0.12795
0.352983,0.0835379,0.0094456,0.0740945,0.12748
0.367407,0.0838143,0.00944621,0.0743695,0.127017
0.382421,0.0840891,0.00944679,0.074644,0.126558
0.398048,0.0843647,0.00944735,0.0749188,0.126101
0.414314,0.0846377,0.00944788,0.0751939,0.125647
0.431245,0.0849147,0.00944842,0.07547,0.125194
0.448867,0.0851936,0.00944897,0.0757477,0.124743
0.46721,0.0854706,0.00944947,0.076027,0.124291
0.486302,0.0857539,0.00944996,0.0763087,0.123839
0.506175,0.0860381,0.00945045,0.0765934,0.123385
0.526859,0.0863261,0.00945092,0.0768802,0.12293
0.548389,0.0866173,0.00945138,0.0771728,0.12247
0.570798,0.0869124,0.00945181,0.0774685,0.122008
0.594123,0.0872149,0.00945224,0.0777683,0.121544
0.618402,0.0875203,0.00945266,0.0780745,0.121072
0.643672,0.0878323,0.00945306,0.0783858,0.120596
0.669976,0.0881505,0.00945344,0.0787036,0.120115
0.697354,0.0884758,0.00945381,0.079028,0.119626
0.725851,0.0888085,0.00945416,0.0793595,0.119131
0.755512,0.0891489,0.0094545,0.0796997,0.118627
0.786385,0.0894978,0.00945482,0.0800486,0.118113
0.81852,0.0898558,0.00945513,0.080406,0.117592
0.851969,0.0902231,0.00945542,0.0807735,0.117061
0.886784,0.0906018,0.00945569,0.0811511,0.11652
0.923021,0.0909911,0.00945596,0.0815396,0.115968
0.96074,0.0913921,0.00945621,0.08194,0.115404
1,0.0918046,0.00945644,0.0823531,0.114828
