x [m],head under wg layer analytical,head above wg layer analytical,head under wg layer modflow,head above wg layer modflow
16.75,0.280603,0.2775,0.280634,0.277519
16.875,0.280556,0.2775,0.280586,0.277519
17,0.280509,0.2775,0.280539,0.277518
17.125,0.280463,0.2775,0.280491,0.277517
17.25,0.280416,0.2775,0.280444,0.277517
17.375,0.280369,0.2775,0.280396,0.277516
17.5,0.280322,0.2775,0.280349,0.277516
17.625,0.280275,0.2775,0.280302,0.277515
17.75,0.280228,0.2775,0.280254,0.277514
17.875,0.280182,0.2775,0.280207,0.277514
18,0.280135,0.2775,0.280159,0.277513
18.125,0.280088,0.2775,0.280112,0.277512
18.25,0.280041,0.2775,0.280064,0.277512
18.375,0.279994,0.2775,0.280017,0.277511
18.5,0.279947,0.2775,0.279969,0.277511
18.625,0.2799,0.2775,0.279922,0.27751
18.75,0.279853,0.2775,0.279874,0.277509
18.875,0.279806,0.2775,0.279827,0.277509
19,0.279759,0.2775,0.279779,0.277508
19.125,0.279712,0.2775,0.279732,0.277507
19.25,0.279665,0.2775,0.279684,0.277507
19.375,0.279618,0.2775,0.279637,0.277506
19.5,0.279571,0.2775,0.279589,0.277506
19.625,0.279524,0.2775,0.279542,0.277505
19.75,0.279477,0.2775,0.279494,0.277504
19.875,0.279431,0.2775,0.279447,0.277504
20,0.279384,0.2775,0.279399,0.277503
20.125,0.279336,0.2775,0.279352,0.277502
20.25,0.279289,0.2775,0.279304,0.277502
20.375,0.279242,0.2775,0.279257,0.277501
20.5,0.279195,0.2775,0.279209,0.2775
20.625,0.279148,0.2775,0.279162,0.2775
20.75,0.279101,0.2775,0.279114,0.277499
20.875,0.279054,0.2775,0.279067,0.277498
21,0.279007,0.2775,0.279019,0.277498
21.125,0.27896,0.2775,0.278972,0.277497
21.25,0.278913,0.2775,0.278924,0.277497
21.375,0.278866,0.2775,0.278877,0.277496
21.5,0.278819,0.2775,0.27883,0.277495
21.625,0.278772,0.2775,0.278782,0.277495
21.75,0.278725,0.2775,0.278735,0.277494
