"x","head just below temp.layer","head just above temp.layer","head at z=0"
21.375,0.278877,0.277496,0.278877
21.5,0.27883,0.277495,0.27883
21.625,0.278782,0.277495,0.278782
21.75,0.278735,0.277494,0.278735
21.875,0.278687,0.277493,0.278688
22,0.27864,0.277493,0.27864
22.125,0.278592,0.277492,0.278592
22.25,0.278545,0.277491,0.278545
22.375,0.278497,0.277491,0.278497
22.5,0.27845,0.27749,0.27845
22.625,0.278402,0.277489,0.278403
22.75,0.278355,0.277489,0.278355
22.875,0.278307,0.277488,0.278307
23,0.27826,0.277487,0.27826
23.125,0.278212,0.277487,0.278212
23.25,0.278165,0.277486,0.278165
23.375,0.278117,0.277485,0.278118
23.5,0.27807,0.277485,0.27807
23.625,0.278022,0.277484,0.278022
23.75,0.277975,0.277483,0.277975
23.875,0.277927,0.277483,0.277927
24,0.27788,0.277482,0.27788
24.125,0.277832,0.277481,0.277833
24.25,0.277785,0.277481,0.277785
24.375,0.277737,0.27748,0.277737
24.5,0.27769,0.277479,0.27769
24.625,0.277642,0.277479,0.277642
24.75,0.277595,0.277478,0.277595
24.875,0.277547,0.277477,0.277548
25,0.2775,0.277477,0.2775
25.125,0.277452,0.277476,0.277452
25.25,0.277405,0.277475,0.277405
25.375,0.277358,0.277475,0.277357
25.5,0.27731,0.277474,0.27731
25.625,0.277263,0.277473,0.277263
25.75,0.277215,0.277473,0.277215
25.875,0.277168,0.277472,0.277167
26,0.27712,0.277471,0.27712
26.125,0.277073,0.277471,0.277072
26.25,0.277025,0.27747,0.277025
26.375,0.276978,0.277469,0.276978
26.5,0.27693,0.277469,0.27693
26.625,0.276883,0.277468,0.276882
26.75,0.276835,0.277467,0.276835
26.875,0.276788,0.277467,0.276787
27,0.27674,0.277466,0.27674
27.125,0.276693,0.277465,0.276693
27.25,0.276645,0.277465,0.276645
27.375,0.276598,0.277464,0.276597
27.5,0.27655,0.277463,0.27655
27.625,0.276503,0.277463,0.276502
27.75,0.276455,0.277462,0.276455
27.875,0.276408,0.277461,0.276408
28,0.27636,0.277461,0.27636
28.125,0.276313,0.27746,0.276313
28.25,0.276265,0.277459,0.276265
28.375,0.276218,0.277459,0.276217
28.5,0.27617,0.277458,0.27617
28.625,0.276123,0.277457,0.276123
28.75,0.276075,0.277457,0.276075
28.875,0.276028,0.277456,0.276028
29,0.275981,0.277455,0.27598
29.125,0.275933,0.277455,0.275932
29.25,0.275886,0.277454,0.275885
29.375,0.275838,0.277454,0.275838
29.5,0.275791,0.277453,0.27579
29.625,0.275743,0.277452,0.275743
29.75,0.275696,0.277452,0.275695
29.875,0.275648,0.277451,0.275647
30,0.275601,0.27745,0.2756
30.125,0.275553,0.27745,0.275553
30.25,0.275506,0.277449,0.275505
30.375,0.275458,0.277448,0.275458
30.5,0.275411,0.277448,0.27541
30.625,0.275363,0.277447,0.275362
30.75,0.275316,0.277446,0.275315
30.875,0.275268,0.277446,0.275268
31,0.275221,0.277445,0.27522
31.125,0.275173,0.277445,0.275173
31.25,0.275126,0.277444,0.275125
31.375,0.275078,0.277443,0.275077
31.5,0.275031,0.277443,0.27503
31.625,0.274983,0.277442,0.274983
31.75,0.274936,0.277441,0.274935
31.875,0.274888,0.277441,0.274888
32,0.274841,0.27744,0.27484
32.125,0.274793,0.27744,0.274792
32.25,0.274746,0.277439,0.274745
32.375,0.274698,0.277438,0.274698
32.5,0.274651,0.277438,0.27465
32.625,0.274603,0.277437,0.274603
32.75,0.274556,0.277436,0.274555
32.875,0.274509,0.277436,0.274507
33,0.274461,0.277435,0.27446
33.125,0.274414,0.277435,0.274413
33.25,0.274366,0.277434,0.274365
33.375,0.274319,0.277433,0.274318
33.5,0.274271,0.277433,0.27427
33.625,0.274224,0.277432,0.274222
33.75,0.274176,0.277432,0.274175
33.875,0.274129,0.277431,0.274128
34,0.274081,0.277431,0.27408
34.125,0.274034,0.27743,0.274033
34.25,0.273986,0.277429,0.273985
34.375,0.273939,0.277429,0.273937
34.5,0.273891,0.277428,0.27389
34.625,0.273844,0.277428,0.273843
34.75,0.273796,0.277427,0.273795
34.875,0.273749,0.277426,0.273748
35,0.273701,0.277426,0.2737
35.125,0.273654,0.277425,0.273652
35.25,0.273606,0.277425,0.273605
